quant,actuel,assiette1-bareme1,assiette2-bareme2,assiette1-bareme3,assiette2-bareme4
10.00,0.00,0.00,0.00,0.00,0.00
20.00,0.00,0.00,0.00,0.00,0.00
30.00,0.00,0.00,0.00,0.00,0.00
40.00,0.00,0.00,0.00,0.00,0.00
50.00,0.00,0.00,0.00,0.00,0.00
60.00,0.00,0.00,0.00,0.00,0.00
70.00,0.00,1.00,1.00,0.00,0.00
80.00,1.00,1.00,2.00,0.00,0.00
90.00,2.00,2.00,5.00,1.00,1.00
95.00,4.00,8.00,9.00,2.00,3.00
99.00,6.00,11.00,16.00,4.00,7.00
99.50,7.00,12.00,19.00,8.00,20.00
99.90,8.00,15.00,22.00,11.00,26.00
100.00,10.00,21.00,30.00,19.00,42.00